date,time,category,type,amount,counterparty
2025-01-01,08:03 AM,Person/Merchant Payment,Debit,180.0,Person_1
2025-01-01,08:03 AM,Person/Merchant Payment,Debit,180.0,Person_2
2025-01-01,08:04 AM,Person/Merchant Payment,Debit,175.0,Person_3
2025-01-01,09:30 AM,Recharge,Debit,189.0,Jio Prepaid Recharges
2025-01-01,09:45 AM,Person/Merchant Payment,Debit,20.0,Person_2
2025-01-01,09:46 AM,UPI Lite Top-up,Debit,200.0,Person_4
2025-01-01,09:47 AM,Education/Fees,Debit,20000.0,Person_5
2025-01-01,04:14 PM,Person/Merchant Payment,Debit,2536.0,Person_6
2025-01-01,04:14 PM,Person/Merchant Payment,Debit,2536.0,Person_7
2025-01-02,09:26 AM,Education/Fees,Debit,22464.0,Person_5
2025-01-03,06:08 PM,Money Received,Credit,20.0,Person_3
2025-01-03,07:07 PM,Person/Merchant Payment,Debit,20.0,Person_1
2025-01-03,07:08 PM,Person/Merchant Payment,Debit,20.0,Person_1
2025-01-04,10:53 AM,Person/Merchant Payment,Debit,140.0,Person_8
2025-01-04,06:15 PM,Person/Merchant Payment,Debit,260.0,Person_9
2025-01-04,06:57 PM,Person/Merchant Payment,Debit,136.0,Person_7
2025-01-05,06:16 PM,Money Received,Credit,20.0,Person_10
2025-01-06,03:04 PM,Money Received,Credit,25.0,Person_1
2025-01-06,03:15 PM,Person/Merchant Payment,Debit,45.0,Person_7
2025-01-06,05:52 PM,Shopping,Debit,602.0,Flipkart
2025-01-07,06:18 PM,Person/Merchant Payment,Debit,40.0,Person_11
2025-01-07,06:32 PM,Money Received,Credit,100.0,Person_12
2025-01-07,10:57 PM,Person/Merchant Payment,Debit,20.0,Person_7
2025-01-07,10:57 PM,UPI Lite Top-up,Debit,40.0,Person_4
2025-01-08,05:49 PM,Money Received,Credit,100.0,Person_2
2025-01-08,05:49 PM,Person/Merchant Payment,Debit,40.0,Person_13
2025-01-08,05:51 PM,Person/Merchant Payment,Debit,80.0,Person_9
2025-01-08,06:37 PM,Person/Merchant Payment,Debit,500.0,Person_14
2025-01-09,08:50 AM,Money Received,Credit,181.0,Person_12
2025-01-10,09:57 PM,Money Received,Credit,45.0,Person_15
2025-01-11,04:28 AM,Person/Merchant Payment,Debit,60.0,Person_7
2025-01-11,11:14 AM,Person/Merchant Payment,Debit,20.0,Person_16
2025-01-11,01:04 PM,UPI Lite Top-up,Debit,200.0,Person_4
2025-01-11,01:04 PM,UPI Lite Top-up,Debit,100.0,Person_4
2025-01-11,09:16 PM,Person/Merchant Payment,Debit,1.0,Person_2
2025-01-11,09:16 PM,UPI Lite Top-up,Debit,1.0,Person_4
2025-01-13,05:58 PM,Person/Merchant Payment,Debit,100.0,Person_10
2025-01-14,07:14 PM,Money Received,Credit,25.0,Person_17
2025-01-15,08:19 PM,Money Received,Credit,1.0,Person_12
2025-01-15,08:19 PM,Money Received,Credit,5.0,Person_12
2025-01-15,08:21 PM,Recharge,Debit,19.0,Person_18
2025-01-15,08:22 PM,UPI Lite Top-up,Debit,10.0,Person_4
2025-01-15,08:24 PM,Money Received,Credit,12.0,Person_1
2025-01-15,08:25 PM,UPI Lite Top-up,Debit,38.0,Person_4
2025-01-17,08:42 PM,Money Received,Credit,11.0,Person_15
2025-01-18,02:25 PM,Money Received,Credit,13.0,Person_17
2025-01-18,02:30 PM,Money Received,Credit,1000.0,Person_12
2025-01-18,08:00 PM,Money Received,Credit,60.0,Person_1
2025-01-19,01:57 PM,Person/Merchant Payment,Debit,500.0,Person_12
2025-01-19,02:03 PM,Money Received,Credit,500.0,Person_12
2025-01-19,06:00 PM,Person/Merchant Payment,Debit,400.0,Person_7
2025-01-19,06:13 PM,UPI Lite Top-up,Debit,50.0,Person_4
2025-01-20,09:51 AM,Money Received,Credit,80.0,Person_2
2025-01-20,10:13 AM,Person/Merchant Payment,Debit,42.0,Person_19
2025-01-20,10:26 AM,Food & Dining,Debit,40.0,Person_20
2025-01-20,10:45 AM,Person/Merchant Payment,Debit,100.0,Person_21
2025-01-24,06:27 PM,UPI Lite Top-up,Debit,21.0,Person_4
2025-01-24,07:12 PM,Money Received,Credit,500.0,Person_12
2025-01-25,08:29 AM,Person/Merchant Payment,Debit,200.0,Person_7
2025-01-25,08:33 AM,Person/Merchant Payment,Debit,200.0,Person_6
2025-01-25,08:33 AM,UPI Lite Top-up,Debit,200.0,Person_4
2025-01-26,11:17 AM,Person/Merchant Payment,Debit,20.0,Person_22
2025-01-26,11:22 AM,Money Received,Credit,10.0,Person_3
2025-01-26,11:26 AM,UPI Lite Top-up,Debit,20.0,Person_4
2025-01-26,04:33 PM,Money Received,Credit,20.0,Person_23
2025-01-26,05:43 PM,Money Received,Credit,20.0,Person_3
2025-01-28,07:44 PM,Person/Merchant Payment,Debit,500.0,Person_24
2025-01-29,03:13 PM,Person/Merchant Payment,Debit,300.0,Person_7
2025-01-29,03:14 PM,Person/Merchant Payment,Debit,300.0,Person_6
2025-01-29,03:30 PM,Person/Merchant Payment,Debit,2678.0,Person_25
2025-01-29,03:32 PM,Person/Merchant Payment,Debit,29.0,Person_25
2025-01-29,03:39 PM,Person/Merchant Payment,Debit,83.96,Person_26
2025-01-29,05:01 PM,Person/Merchant Payment,Debit,700.0,Person_27
2025-01-29,06:01 PM,Money Received,Credit,130.0,Person_3
2025-02-04,09:24 PM,Person/Merchant Payment,Debit,1000.0,Person_28
2025-02-06,02:34 PM,Money Received,Credit,1000.0,Person_28
2025-02-06,03:39 PM,Person/Merchant Payment,Debit,1000.0,Person_7
2025-02-06,09:38 PM,Person/Merchant Payment,Debit,1000.0,Person_11
2025-02-09,10:00 AM,Person/Merchant Payment,Debit,20000.0,Person_12
2025-02-09,10:03 AM,Money Received,Credit,1.0,Person_12
2025-02-09,10:03 AM,Person/Merchant Payment,Debit,1.0,Person_7
2025-02-09,10:24 AM,Others,Debit,139.0,Person_29
