id,date,time,category,type,amount,counterparty,month
1,2025-01-01,"08:03 AM","Person/Merchant Payment",Debit,180.00,Person_1,2025-01
2,2025-01-01,"08:03 AM","Person/Merchant Payment",Debit,180.00,Person_2,2025-01
3,2025-01-01,"08:04 AM","Person/Merchant Payment",Debit,175.00,Person_3,2025-01
4,2025-01-01,"09:30 AM",Recharge,Debit,189.00,"Jio Prepaid Recharges",2025-01
5,2025-01-01,"09:45 AM","Person/Merchant Payment",Debit,20.00,Person_2,2025-01
6,2025-01-01,"09:46 AM","UPI Lite Top-up",Debit,200.00,Person_4,2025-01
7,2025-01-01,"09:47 AM",Education/Fees,Debit,20000.00,Person_5,2025-01
8,2025-01-01,"04:14 PM","Person/Merchant Payment",Debit,2536.00,Person_6,2025-01
9,2025-01-01,"04:14 PM","Person/Merchant Payment",Debit,2536.00,Person_7,2025-01
10,2025-01-02,"09:26 AM",Education/Fees,Debit,22464.00,Person_5,2025-01
11,2025-01-03,"06:08 PM","Money Received",Credit,20.00,Person_3,2025-01
12,2025-01-03,"07:07 PM","Person/Merchant Payment",Debit,20.00,Person_1,2025-01
13,2025-01-03,"07:08 PM","Person/Merchant Payment",Debit,20.00,Person_1,2025-01
14,2025-01-04,"10:53 AM","Person/Merchant Payment",Debit,140.00,Person_8,2025-01
15,2025-01-04,"06:15 PM","Person/Merchant Payment",Debit,260.00,Person_9,2025-01
16,2025-01-04,"06:57 PM","Person/Merchant Payment",Debit,136.00,Person_7,2025-01
17,2025-01-05,"06:16 PM","Money Received",Credit,20.00,Person_10,2025-01
18,2025-01-06,"03:04 PM","Money Received",Credit,25.00,Person_1,2025-01
19,2025-01-06,"03:15 PM","Person/Merchant Payment",Debit,45.00,Person_7,2025-01
20,2025-01-06,"05:52 PM",Shopping,Debit,602.00,Flipkart,2025-01
21,2025-01-07,"06:18 PM","Person/Merchant Payment",Debit,40.00,Person_11,2025-01
22,2025-01-07,"06:32 PM","Money Received",Credit,100.00,Person_12,2025-01
23,2025-01-07,"10:57 PM","Person/Merchant Payment",Debit,20.00,Person_7,2025-01
24,2025-01-07,"10:57 PM","UPI Lite Top-up",Debit,40.00,Person_4,2025-01
25,2025-01-08,"05:49 PM","Money Received",Credit,100.00,Person_2,2025-01
26,2025-01-08,"05:49 PM","Person/Merchant Payment",Debit,40.00,Person_13,2025-01
27,2025-01-08,"05:51 PM","Person/Merchant Payment",Debit,80.00,Person_9,2025-01
28,2025-01-08,"06:37 PM","Person/Merchant Payment",Debit,500.00,Person_14,2025-01
29,2025-01-09,"08:50 AM","Money Received",Credit,181.00,Person_12,2025-01
30,2025-01-10,"09:57 PM","Money Received",Credit,45.00,Person_15,2025-01
31,2025-01-11,"04:28 AM","Person/Merchant Payment",Debit,60.00,Person_7,2025-01
32,2025-01-11,"11:14 AM","Person/Merchant Payment",Debit,20.00,Person_16,2025-01
33,2025-01-11,"01:04 PM","UPI Lite Top-up",Debit,200.00,Person_4,2025-01
34,2025-01-11,"01:04 PM","UPI Lite Top-up",Debit,100.00,Person_4,2025-01
35,2025-01-11,"09:16 PM","Person/Merchant Payment",Debit,1.00,Person_2,2025-01
36,2025-01-11,"09:16 PM","UPI Lite Top-up",Debit,1.00,Person_4,2025-01
37,2025-01-13,"05:58 PM","Person/Merchant Payment",Debit,100.00,Person_10,2025-01
38,2025-01-14,"07:14 PM","Money Received",Credit,25.00,Person_17,2025-01
